movieId,user_score,language,budget,revenue
169958.0,62,English,-,"$73,121.00"
169982.0,63,English,"$105,000,000.00","$142,300,000.00"
169984.0,61,English,"$97,000,000.00","$240,891,763.00"
169992.0,63,English,"$7,000,000.00","$3,719,383.00"
170289.0,52,English,-,-
170297.0,68,English,-,-
170355.0,78,English,-,-
170357.0,76,English,-,-
170399.0,61,English,"$25,000,000.00","$26,800,152.00"
170401.0,59,English,"$5,000,000.00","$5,042,014.00"
170411.0,76,English,-,-
170551.0,71,Korean,-,-
170597.0,72,Russian,-,-
170697.0,80,English,"$7,000,000.00","$40,300,000.00"
170777.0,79,Russian,-,-
170813.0,61,English,"$69,000,000.00","$177,900,000.00"
170817.0,54,English,"$42,000,000.00","$60,800,000.00"
170827.0,55,English,"$125,000,000.00","$409,231,607.00"
170837.0,62,English,"$7,000,000.00",-
170875.0,69,English,"$250,000,000.00","$1,236,000,000.00"
170897.0,55,English,-,-
170907.0,71,English,-,-
170937.0,57,English,-,-
170939.0,62,English,"$38,000,000.00","$125,427,681.00"
170945.0,59,English,"$5,000,000.00","$19,280,931.00"
170957.0,69,English,"$175,000,000.00","$383,925,276.00"
170993.0,56,English,"$6,000,000.00","$156,318.00"
171023.0,61,English,-,"$4,077,333.00"
171251.0,61,English,-,-
171631.0,52,English,-,-
171695.0,76,English,-,-
171701.0,64,French,-,"$17,355.00"
171751.0,72,Hindi,-,-
171759.0,59,English,"$10,500,000.00","$27,400,000.00"
171763.0,74,English,"$34,000,000.00","$226,945,087.00"
171765.0,74,English,"$50,000,000.00",-
171811.0,51,Polish,-,-
171867.0,57,English,"$20,000,000.00","$45,056,771.00"
171891.0,68,English,-,-
171917.0,65,French,-,-
172013.0,67,German,-,-
172215.0,62,English,-,-
172229.0,62,English,"$7,500,000.00","$289,323.00"
172233.0,59,English,-,-
172253.0,62,English,-,-
172321.0,69,English,-,-
172461.0,70,English,-,-
172547.0,65,English,"$80,000,000.00","$1,031,600,000.00"
172577.0,73,Russian,-,-
172583.0,70,Russian,-,-
172585.0,70,Russian,-,-
172587.0,75,Russian,-,-
172589.0,77,Russian,-,-
172591.0,89,English,-,-
172637.0,74,Russian,-,-
172705.0,76,English,-,-
172793.0,73,Russian,-,-
172825.0,78,Russian,-,-
172875.0,71,English,-,-
172881.0,69,English,-,-
172887.0,69,English,-,-
173145.0,72,English,"$150,000,000.00","$490,700,000.00"
173197.0,68,Swedish,-,"$9,494,535.00"
173205.0,64,English,-,-
